timestamp,endpoint_name,model,problem_id,difficulty,problem_number,run_idx,ttft_s,gen_time_s,total_wall_s,output_tokens,tokens_per_s,passed
2026-07-01T01:35:26.023120+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_e,hard,4,1,7.406566,0.817933,8.331592,552,66.254,TRUE
2026-07-01T01:35:30.233910+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_e,hard,4,1,1.180945,0.120009,1.369243,297,216.908,TRUE
2026-07-01T01:35:43.066414+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_e,hard,4,2,9.299217,0.725058,10.111030,626,61.913,TRUE
2026-07-01T01:35:47.487897+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_e,hard,4,2,1.443884,0.108073,1.616968,355,219.547,TRUE
2026-07-01T01:36:10.789570+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc388_e,hard,4,3,19.660530,0.802785,20.526175,1309,63.772,TRUE
2026-07-01T01:36:15.137525+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_e,hard,4,3,1.359263,0.061238,1.479560,373,252.102,TRUE
2026-07-01T01:39:10.380995+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc389_g,hard,5,1,148.335071,11.507252,160.012752,9646,60.283,TRUE
2026-07-01T01:39:32.532428+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc389_g,hard,5,1,11.967994,1.829254,13.906508,4051,291.302,TRUE
2026-07-01T01:42:28.016380+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc389_g,hard,5,2,162.777669,8.320625,171.209828,10760,62.847,FALSE
2026-07-01T01:42:44.574915+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc389_g,hard,5,2,11.111376,2.259243,13.442633,3896,289.824,FALSE
2026-07-01T01:45:02.083113+00:00,openai-model-default-v6-hard2-5-responses,gpt-5.5,abc389_g,hard,5,3,123.321605,8.609011,132.061151,7940,60.124,TRUE
2026-07-01T01:45:20.984441+00:00,openai-model-fast-v6-hard2-5-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc389_g,hard,5,3,11.635242,1.657216,13.428213,4122,306.966,TRUE
2026-07-03T06:42:13.637943+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,1,14.208748,0.743051,15.076090,2770,183.735,False
2026-07-03T06:43:23.415272+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc387_f,hard,1,1,54.112697,12.183683,66.336122,5869,88.474,True
2026-07-03T06:43:43.540865+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,2,13.870139,0.985852,14.960934,2898,193.704,True
2026-07-03T06:44:24.478469+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc387_f,hard,1,2,28.923733,6.661193,35.590388,3221,90.502,True
2026-07-03T06:45:13.396034+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc387_f,hard,1,3,38.858213,6.993617,45.974804,3710,80.696,False
2026-07-03T06:45:59.047191+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc387_f,hard,1,3,34.316667,6.480789,40.898513,3628,88.707,True
2026-07-03T06:46:28.371087+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,1,25.256501,0.797621,26.187455,5502,210.101,True
2026-07-03T06:47:33.982212+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_g,hard,2,1,53.304132,8.969403,62.286506,5526,88.719,True
2026-07-03T06:47:56.264694+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,2,18.452818,0.758095,19.337387,3963,204.940,False
2026-07-03T06:48:44.161002+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_g,hard,2,2,32.226544,11.954897,44.190639,4068,92.056,True
2026-07-03T06:48:59.445731+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_g,hard,2,3,11.149082,0.658103,11.905341,2561,215.114,False
2026-07-03T06:49:45.001775+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_g,hard,2,3,29.905544,12.328672,42.280364,3658,86.518,True
2026-07-03T06:50:13.581335+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,1,24.040229,1.264771,25.424576,4862,191.232,True
2026-07-03T06:54:05.039456+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_f,hard,3,1,215.007355,13.382148,228.404822,17981,78.724,True
2026-07-03T06:54:20.985459+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,2,12.314964,1.068906,13.472983,2617,194.241,True
2026-07-03T06:58:30.063585+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_f,hard,3,2,234.043927,11.288912,245.507740,20220,82.360,True
2026-07-03T06:59:02.687375+00:00,openai-model-fast-v6-hard1-3-xhigh-responses,gpt-5.5-koffing-castor-kosmo-0527-test-ev3,abc388_f,hard,3,3,28.483918,0.818761,29.410728,5681,193.161,True
2026-07-03T07:01:58.461612+00:00,anthropic-claude-fable-5-v6-hard1-3-xhigh-messages,claude-fable-5,abc388_f,hard,3,3,159.320081,13.166516,172.493717,13563,78.629,True
